gene_symbol,Mgst2
parameter_id,MGP_PBI_033_001
mouse_strain,C57BL
parameter_name,CD8+ KLRG1+ alpha beta T cell number
pvalue,0.3726329
gene_accession_id,MGI:2448481
analysis_id,7z9zv19102401pd
mouse_life_stage,Early adult
