analysis_id,elqwir59uqg268e
gene_accession_id,MGI:1913506
pvalue,0.3315364
mouse_strain,C57BL
gene_symbol,Ssr2
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_001_001
parameter_name,End-Systolic Diameter
