parameter_name,Latency to center entry
pvalue,0.9147566
mouse_strain,C57BL
gene_symbol,Hspa5
parameter_id,IMPC_OFD_018_001
gene_accession_id,MGI:95835
analysis_id,eh0es003m3p0255
mouse_life_stage,E9.5
