analysis_id,db0801u650v3so6
gene_accession_id,MGI:95457
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,JAX_OFD_012_001
parameter_name,Periphery permanence time
gene_symbol,Mecom
pvalue,0.1018472
