analysis_id,1x69a03l1a622sl
mouse_strain,C57BL
gene_accession_id,MGI:1931749
gene_symbol,Pum1
parameter_id,M-G-P_007_001_008
mouse_life_stage,Early adult
parameter_name,Periphery - Permanence Time
pvalue,0.6580248
