mouse_strain,C57BL
parameter_id,IMPC_ECH_001_001
parameter_name,End-Systolic Diameter
gene_accession_id,MGI:1920638
analysis_id,i73t818wwl7969p
mouse_life_stage,Early adult
pvalue,0.7365874
gene_symbol,Bpifa3
