analysis_id,49rm7mybdr291d9
pvalue,0.3980147
gene_accession_id,MGI:3045306
parameter_id,MGP_BMI_014_001
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Exd1
