analysis_id,5sa011ewnh82mq0
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.4772646
gene_symbol,Extl1
parameter_id,MGP_PBI_003_001
gene_accession_id,MGI:1888742
mouse_strain,C57BL
mouse_life_stage,Early adult
