analysis_id,3wir2348h9u00e0
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.943185
mouse_strain,C57BL
parameter_id,MGP_IMM_089_001
gene_accession_id,MGI:1915678
gene_symbol,Steap3
