parameter_id,JAXLA_CBC_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2653612
parameter_name,Total cholesterol
analysis_id,57h7d5l616740h7
gene_symbol,Amigo1
pvalue,0.1008261
