gene_symbol,Zmynd19
mouse_strain,C57BL
gene_accession_id,MGI:1914437
pvalue,0.9654587
parameter_name,Eosinophils - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_125_001
analysis_id,ug4mea2u5ole8l5
