gene_symbol,Il1r1
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_016_001
analysis_id,ii1s11k7b1b3834
parameter_name,Center permanence time
mouse_strain,C57BL
gene_accession_id,MGI:96545
pvalue,0.7259186
