gene_symbol,Smyd2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_016_001
gene_accession_id,MGI:1915889
analysis_id,7zg38kq7p96w768
pvalue,0.0720839
parameter_name,Coat - hair texture / appearance - abdomen
