gene_symbol,Kdm5b
analysis_id,b8pn32124379l15
gene_accession_id,MGI:1922855
parameter_id,IMPC_ABR_008_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,18kHz-evoked ABR Threshold
pvalue,0.5216584
