analysis_id,61urb3m5mf02g01
gene_accession_id,MGI:894679
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
gene_symbol,Bach2
parameter_name,Mean platelet volume
pvalue,0.6092872
mouse_life_stage,Early adult
