gene_symbol,Cmpk1
parameter_id,MGP_IMM_014_001
gene_accession_id,MGI:1913838
analysis_id,91vi29v8uo0w91o
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.4052118
