gene_symbol,Rgs20
analysis_id,ht8d700q2zq8980
gene_accession_id,MGI:1929866
parameter_name,Coat - color - abdomen
parameter_id,IMPC_CSD_007_001
mouse_strain,C57BL
pvalue,0.3895093
mouse_life_stage,Early adult
