parameter_name,Embryo Size
parameter_id,IMPC_GEO_019_001
mouse_strain,C57BL
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
mouse_life_stage,Early adult
analysis_id,55lohf7n2n7gi5k
pvalue,0.6670024
