parameter_id,HMGULA_DYS_024_001
gene_symbol,Cdin1
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:3026886
pvalue,0.9734696
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,vl9b551w91eo04i
