analysis_id,2p3q51p8k2i5tao
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
parameter_name,Total NK cells - % of CD45+
pvalue,0.6197187
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_id,MGP_MLN_031_001
