parameter_id,M-G-P_016_001_001
mouse_strain,C50BL
analysis_id,0108a5yx7u41mpg
parameter_name,White blood cell-count
mouse_life_stage,Early adult
gene_symbol,Ola1
gene_accession_id,MGI:1914309
pvalue,0.8544351
