analysis_id,9bm28el9k537269
gene_accession_id,MGI:1914561
pvalue,0.9574948
mouse_life_stage,E18.5
gene_symbol,Nanp
parameter_name,Calcium
mouse_strain,C57BL
parameter_id,IMPC_CBC_009_001
