parameter_name,Center distance travelled
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
analysis_id,0s4ohv1mb2bq7n2
parameter_id,JAX_OFD_014_001
mouse_life_stage,Early adult
pvalue,0.2600241
mouse_strain,C57BL
