analysis_id,cmjnai0oolm40vp
gene_symbol,Amigo1
parameter_name,Placenta Size
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
parameter_id,IMPC_GPP_004_001
pvalue,0.726263
