analysis_id,5x4f1tc6491jl54
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:2446274
pvalue,0.9050041
gene_symbol,Frmpd1
mouse_life_stage,Early adult
parameter_name,Global prepulse inhibition
mouse_strain,C57BL
