analysis_id,94q1iy81bu13swl
parameter_name,Center resting time
gene_symbol,Slc2a8
parameter_id,JAX_OFD_015_001
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.08603918
