gene_symbol,Cpa3
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
pvalue,0.4262315
analysis_id,6x6p4o2y89v265m
mouse_strain,C57BL
parameter_name,Tibia length
