analysis_id,ep1355ao8o66693
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_057_001
parameter_name,Heart looping
mouse_strain,C57BL
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
pvalue,0.5844072
