analysis_id,z74z33yiv8lp8ly
gene_symbol,Bpifa3
parameter_id,IMPC_DXA_009_001
mouse_life_stage,Early adult
parameter_name,Fat/Body weight
mouse_strain,129SV
gene_accession_id,MGI:1920638
pvalue,0.7398973
