parameter_id,IMPC_FEA_106_001
mouse_life_stage,Early adult
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
analysis_id,d664z06143cpcr3
gene_symbol,Rab13
gene_accession_id,MGI:1927232
mouse_strain,C57BL
pvalue,0.602013
