gene_symbol,Cntfr
analysis_id,givqfku297616h5
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.362303
parameter_id,MGP_MLN_067_001
mouse_strain,129SV
gene_accession_id,MGI:99605
