parameter_id,HMGULA_SHI_009_001
gene_symbol,Nipal3
pvalue,0.3057121
mouse_life_stage,Early adult
parameter_name,Startle response
gene_accession_id,MGI:1921802
mouse_strain,129SV
analysis_id,63u8044xq76945l
