parameter_name,HDL-cholesterol
gene_symbol,Cntfr
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2032644
parameter_id,HMGULA_CBC_016_001
analysis_id,n62862937q63im3
gene_accession_id,MGI:99605
