analysis_id,7uwr1cz671w86p7
parameter_id,MGP_IMM_048_001
mouse_life_stage,Early adult
pvalue,0.4700016
parameter_name,Follicular B cells - % of B2 cells
gene_symbol,Dhdds
gene_accession_id,MGI:1914672
mouse_strain,C57BL
