gene_symbol,Zfp683
pvalue,0.8662306
mouse_strain,C57BL
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
parameter_name,Average duration
analysis_id,rh06j1ozs94do07
parameter_id,JAX_ROT_002_001
