parameter_name,Head morphology
analysis_id,em52alf96z765x3
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_CSD_064_001
pvalue,0.2768341
gene_symbol,Cmpk1
