gene_symbol,Ahcy
parameter_id,M-G-P_016_001_005
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Mean-cell-volume
gene_accession_id,MGI:87968
pvalue,0.693366
analysis_id,99u1e57gx72pbfn
