analysis_id,me2t2he3356r94s
parameter_id,IMPC_ECG_028_001
gene_accession_id,MGI:88380
mouse_strain,C57BL
parameter_name,QT
mouse_life_stage,Early adult
gene_symbol,F2
pvalue,0.4872994
