gene_symbol,Sass6
mouse_life_stage,E9.5
gene_accession_id,MGI:1920026
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C57BL
pvalue,0.2049183
parameter_id,MGP_IMM_078_001
analysis_id,09ixx6520x6j01c
