analysis_id,87976671cn7r051
gene_symbol,Cldn19
mouse_life_stage,Early adult
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:3033992
parameter_id,MGP_IMM_027_001
pvalue,0.2839419
mouse_strain,C57BL
