analysis_id,bqq5v3yvf8921q9
mouse_strain,C57BL
gene_symbol,Hpca
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:1336200
parameter_name,Heart weight
mouse_life_stage,Early adult
pvalue,0.8296458
