analysis_id,1dj70pyev16431x
pvalue,0.7284575
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
mouse_strain,C57BL
gene_symbol,Hpca
parameter_name,Coat - hair texture / appearance - abdomen
parameter_id,IMPC_CSD_016_001
