parameter_name,Sodium
gene_accession_id,MGI:3026886
pvalue,0.160221
analysis_id,47y85gdzx38d16f
gene_symbol,Cdin1
mouse_strain,C57BL
parameter_id,IMPC_CBC_001_001
mouse_life_stage,E9.5
