parameter_name,Limb grasping
mouse_strain,C57BL
gene_symbol,Morn5
pvalue,0.09919514
gene_accession_id,MGI:1922745
parameter_id,ESLIM_008_001_017
mouse_life_stage,Early adult
analysis_id,ql1f61o2zei0qft
