mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1087248
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
parameter_id,HRWLLA_OFD_013_001
analysis_id,61omy6l7z74z4gx
parameter_name,Periphery average speed
