parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
mouse_life_stage,Early adult
analysis_id,tb63004n0233yyt
gene_accession_id,MGI:3522699
pvalue,0.8083491
mouse_strain,C57BL
gene_symbol,Trpa1
