gene_symbol,Cdin1
pvalue,0.2552832
parameter_id,MGP_MLN_063_001
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
analysis_id,793h8v3hs200hy0
mouse_strain,C57BL
