analysis_id,9hn9g0m7a94jx5i
parameter_id,UCD_OWT_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
pvalue,0.2711028
mouse_strain,129SV
parameter_name,Liver weight
