analysis_id,7h1pds4101if51b
parameter_name,Pale yolk sac
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
gene_symbol,Col6a3
pvalue,0.2481403
