analysis_id,ot76hw8610yg042
pvalue,0.7826047
parameter_name,Lean/Body weight
gene_symbol,Wars2
mouse_strain,C57BL
parameter_id,ESLIM_005_001_702
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
