gene_symbol,Bmi1
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,E15.5
analysis_id,2mj8r0g15uw8ng3
mouse_strain,C59BL
pvalue,0.5117035
gene_accession_id,MGI:88174
parameter_id,MGP_IMM_026_001
