analysis_id,50e1zc4i13d5ra1
gene_symbol,Rnf114
parameter_id,IMPC_DXA_010_001
mouse_strain,C57BL
pvalue,0.3036093
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
parameter_name,Bone Area
