gene_symbol,Car13
mouse_strain,C57BL
parameter_name,Radius
analysis_id,6c3jv8wp1otw84f
gene_accession_id,MGI:1931322
pvalue,0.8855747
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
