analysis_id,2fw4yg9wdp74s1i
parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
gene_symbol,Pum1
gene_accession_id,MGI:1931749
pvalue,0.5398828
mouse_strain,C57BL
parameter_name,Retina (combined)
