analysis_id,297018n7l7980z8
gene_accession_id,MGI:2684980
parameter_name,KLRG1+ mature NK cell number
mouse_strain,C56BL
pvalue,0.5560094
mouse_life_stage,Early adult
gene_symbol,Mms22l
parameter_id,MGP_PBI_031_001
