parameter_name,Eosinophils
gene_symbol,Hspa5
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,kxnd2zuz3r684gg
pvalue,0.3558324
gene_accession_id,MGI:95835
parameter_id,IMPC_IMM_052_001
