analysis_id,vmy8wtu4sc84fea
gene_accession_id,MGI:1339969
gene_symbol,Gja10
pvalue,0.1815858
mouse_strain,C57BL
parameter_id,IMPC_EYE_007_001
parameter_name,Cornea
mouse_life_stage,Early adult
