gene_symbol,Nanp
analysis_id,m4d09ju911o9h31
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
pvalue,0.5837762
mouse_strain,C57BL
