parameter_name,Whole arena resting time
pvalue,0.3948253
mouse_life_stage,Early adult
gene_symbol,Nr0b2
parameter_id,ESLIM_007_001_003
mouse_strain,B6J
gene_accession_id,MGI:1346344
analysis_id,rid817f25943a8q
