parameter_name,Periphery distance travelled
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
pvalue,0.982678
analysis_id,68kc14288qye6y5
parameter_id,ESLIM_007_001_006
mouse_life_stage,E9.5
mouse_strain,C57BL
