parameter_id,JAX_LDT_002_001
gene_symbol,Pld1
analysis_id,tl82u6frhn7fg62
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
parameter_name,Light side time spent
mouse_strain,C57BL
pvalue,0.5209135
