gene_symbol,Exd1
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_002
analysis_id,4hv428c7h26b199
parameter_name,Retina (combined)
gene_accession_id,MGI:3045306
mouse_strain,C57BL
pvalue,0.984149
