analysis_id,q4ri9f7m59om273
gene_symbol,Sema6c
mouse_life_stage,Early adult
pvalue,0.8560768
parameter_id,IMPC_CSD_036_001
gene_accession_id,MGI:1338032
mouse_strain,C57BL
parameter_name,Startle response
