analysis_id,0m6475c0w646359
mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_070_001
mouse_strain,C57BL
gene_symbol,AU040320
pvalue,0.1691635
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:2140475
